URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-3/,43,7,0.7199999856000003,0.1265822781605512,49.356790308640655,3.0307004251313923,22.773416548587655,49.356790308640655,228,395,2.0376263331944524,0,5.158666666666667
2,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19-2/,55,16,0.5492957669113272,0.1670588231363322,20.404211905932115,3.7755890647287145,11.937273827101562,20.404211905932115,254,425,1.8863397407362106,0,4.734753146176186
3,https://insights.blackcoffer.com/is-telemedicine-effective-in-treating-patients/,107,24,0.6335877814229941,0.1363163370069549,23.82429212933496,3.04490448274534,12.574621334479325,23.82429212933496,579,961,2.170164369247625,1,5.177732379979571
4,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-2/,98,24,0.6065573720773986,0.1187925996895885,34.607775278872,2.828525187736348,16.67163529928515,34.607775278872,624,1027,2.1999998753541146,0,5.247365780230808
5,https://insights.blackcoffer.com/how-people-diverted-to-telehealth-services-and-telemedicine/,96,34,0.4769230732544379,0.13319672117500336,30.483282527862453,3.2144106828803722,15.407723694025353,30.483282527862453,569,976,2.0967740789079237,1,5.117733990147784
6,https://insights.blackcoffer.com/the-future-of-telehealth-services/,93,41,0.3880596985965694,0.13617886165022475,27.769188047403002,2.9301943295139075,14.03786954847511,27.769188047403002,616,984,2.22991677396583,2,5.182582879762494
7,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19/,47,25,0.30555555131172846,0.11940298487661197,67.38851450825273,4.125848936786077,31.081254740087168,67.38851450825273,294,603,1.8903543371513325,0,4.871653543307087
8,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector-2/,38,3,0.8536585157644265,0.10539845731260036,34.608545180238345,3.8086106178896566,17.652028689984995,34.608545180238345,209,389,1.8994972488068784,8,4.763968072976055
9,https://insights.blackcoffer.com/the-impact-of-the-metaverse-on-financial-services/,52,9,0.7049180212308521,0.08579465529424099,30.999926190651923,3.1990164130180805,15.59898688927885,30.999926190651923,407,711,2.076804756005779,2,5.124738675958188
10,https://insights.blackcoffer.com/how-metaverse-and-vr-can-reform-work-culture/,58,28,0.34883720524607903,0.09178228378678518,30.77580900722585,3.3679238928445487,15.67824749573489,30.77580900722585,530,937,1.9893556308484242,7,4.804586241276171
11,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector/,55,19,0.4864864799123449,0.09343434331637078,33.046434775733076,3.8825126004063937,17.101086510699623,33.046434775733076,366,792,1.9049963472908975,5,4.809370988446727
12,https://insights.blackcoffer.com/how-metaverse-will-change-your-life/,53,22,0.4133333278222223,0.09036144567426332,26.69837032004711,4.004760951247393,14.684109079266237,26.69837032004711,420,830,1.8995242628106859,20,4.595351294241944
13,https://insights.blackcoffer.com/the-metaverse-and-its-implications-for-our-digital-future/,34,18,0.30769230177514806,0.07680945335774084,28.94334161633657,4.808775922013818,16.386112568548448,28.94334161633657,319,677,1.8109516420500886,33,4.226704545454545
14,https://insights.blackcoffer.com/do-all-social-media-is-owned-by-meta/,10,8,0.11111110493827195,0.03254972869340013,35.46140207153049,3.546152482249046,17.730713310861244,35.46140207153049,260,553,1.955531241265592,2,4.793203883495146
15,https://insights.blackcoffer.com/how-metaverse-is-shaping-the-future-the-next-big-tech-phenomena/,51,16,0.522388051904656,0.06979166659396702,27.906206396552506,3.600805725644007,14.763288284265009,27.906206396552506,496,960,1.9210525240172158,3,4.650195694716243
16,https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers-2/,24,35,-0.18644067480609028,0.16713880972481923,39.055338581452325,4.135291685122538,19.757427117703468,39.055338581452325,170,353,1.8933140976793603,4,4.8020969855832245
17,https://insights.blackcoffer.com/what-is-the-limitation-of-e-learning-classes/,37,79,-0.3620689623959572,0.13695395497408033,23.054762938680906,4.114913419336572,13.336818594808936,23.054762938680906,409,847,1.9138442118927979,3,4.742751713231418
18,https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers/,34,29,0.07936507810531622,0.12883435556475592,22.999950000108694,6.011360220818056,15.211340220861533,22.999950000108694,176,489,1.6776936032425707,5,4.26447709593777
19,https://insights.blackcoffer.com/problems-faced-by-students-in-online-classes-during-covid-19/,60,33,0.2903225775234132,0.11817026668593358,43.68409556816955,3.9903836561577752,21.4640218834256,43.68409556816955,416,787,1.9084336199738783,7,4.791923724060572
